,customer_id,Name,Churn Score
0,fffe43004900440031003700300030003400,Alethia Meints,3
1,fffe43004900440031003900370037003300,Ming Lopez,3
2,fffe43004900440034003800360037003000,Carina Flannigan,3
3,fffe43004900440036003200370033003400,Kyung Wanner,3
4,fffe43004900440035003000370031003900,Enola Gatto,5
5,fffe43004900440035003700330030003600,Evelyne Kinch,5
6,fffe43004900440034003500360031003900,Gerry Metheny,1
7,fffe430049004400320031003000,Annamaria Mistretta,5
8,fffe43004900440034003100320030003300,Birgit Vince,3
9,fffe4300490044003500320033003500,Franklin Lurry,5
10,fffe43004900440032003000320035003500,Arielle Yarber,4
11,fffe43004900440033003600300032003000,Ming Liebel,3
12,fffe43004900440033003400320031003900,Alyson Honea,3
13,fffe43004900440031003900350037003100,Afton Minton,3
14,fffe43004900440031003300320038003200,Gina Trieu,4
15,fffe43004900440036003100310035003800,Alan Branum,5
16,fffe43004900440035003700380032003700,Elke Yann,5
17,fffe43004900440034003900360037003200,Nichelle Oceguera,5
18,fffe43004900440035003000350034003200,Gertrud Hardesty,4
19,fffe43004900440032003000390038003500,Meaghan Kirkham,4
20,fffe43004900440035003800370036003400,Opal Robards,4
21,fffe43004900440035003700300038003300,Deborah Defore,4
22,fffe43004900440035003100340033003200,Bethany Krings,3
23,fffe43004900440033003600370032003800,Giselle Hutton,3
24,fffe43004900440036003000330036003700,Joseph Modica,3
25,fffe43004900440034003900330038003600,Sharita Slaton,5
26,fffe4300490044003400360031003800,Ozell Eriksen,3
27,fffe4300490044003100350034003900,Kym Rosecrans,3
28,fffe43004900440033003100380033003000,Neoma Saltzman,1
29,fffe4300490044003900330035003600,Christene Montana,3
30,fffe43004900440032003000380039003100,Alayna Carraway,4
31,fffe43004900440036003100380033003200,Ranee Exner,3
32,fffe43004900440032003900300034003600,Krystin Hults,4
33,fffe4300490044003100340037003300,Elva Curry,3
34,fffe43004900440033003900340035003100,Arlen Rosol,4
35,fffe43004900440032003300330039003400,Audry Yarber,5
36,fffe4300490044003600340030003500,Hilary Kirsch,3
37,fffe43004900440032003100320032003500,Alayna Patt,4
38,fffe43004900440036003300390032003000,Gertrud Addington,1
39,fffe43004900440032003000390039003600,Lee Dry,4
40,fffe4300490044003900320031003400,Alan Bridge,4
41,fffe43004900440032003700360038003800,Fumiko Tracey,5
42,fffe43004900440035003200370033003500,Colby Omalley,4
43,fffe43004900440035003200390031003800,Jeanine Yamasaki,2
44,fffe43004900440034003200380032003000,Stephane Melanson,5
45,fffe4300490044003800360035003200,Ivory Hipps,1
46,fffe43004900440033003200350036003500,Traci Hofer,5
47,fffe43004900440031003300380035003800,Adolfo Allsup,3
48,fffe43004900440032003900320035003700,Zelda Abdalla,4
49,fffe43004900440031003500370038003900,Darlena Pfeil,4
50,fffe43004900440034003100340038003200,Renata Fifield,3
51,fffe4300490044003700310032003500,Vannesa Bulfer,4
52,fffe43004900440032003100390037003000,Setsuko Mcgowan,5
53,fffe43004900440034003600360033003300,Desire Stonecipher,4
54,fffe43004900440033003400300033003100,Andra Kirkham,3
55,fffe43004900440034003700330030003600,Mayra Saraiva,4
56,fffe43004900440033003700340039003700,Leanne Heyen,2
57,fffe43004900440034003200390031003500,Rosia Clubb,3
58,fffe43004900440032003800300035003900,Lesley Towry,3
59,fffe43004900440035003900380039003600,Marietta Gilkison,5
60,fffe43004900440033003800370036003600,Luisa Archibald,5
61,fffe43004900440032003000360033003900,Hilary Beers,4
62,fffe43004900440034003400350037003500,Sharita Mckinzie,5
63,fffe43004900440035003800360035003600,Mayra Gregoire,3
64,fffe43004900440034003000350038003900,Cami Mattison,5
65,fffe43004900440032003800360032003900,Dinorah Tow,5
66,fffe43004900440033003800340037003700,Damaris Zamorano,5
67,fffe4300490044003100350033003300,Miguelina Shedd,4
68,fffe43004900440035003400320034003800,Lois Kohr,5
69,fffe43004900440034003200360030003500,Glenda Bourgault,3
70,fffe43004900440032003600340034003800,Dominick Hennessee,5
71,fffe43004900440032003300310035003400,Idalia Files,4
72,fffe43004900440033003500340034003400,Regenia Volkmann,4
73,fffe43004900440036003300320036003400,Janel Wierenga,5
74,fffe43004900440033003600310031003300,Nova Steger,5
75,fffe43004900440032003000310033003800,Jeannette Emmons,4
76,fffe43004900440035003200350034003700,Luciana Antoine,1
77,fffe43004900440036003100320036003900,Larae Alvis,5
78,fffe43004900440031003000380033003100,Ladawn Caudill,3
79,fffe43004900440033003200310031003900,Karri Serafin,3
80,fffe43004900440032003300320035003600,Andrea Luth,3
81,fffe4300490044003900330031003400,Bernadine Nelligan,4
82,fffe43004900440033003400350033003300,Ming Morrisey,1
83,fffe43004900440035003800320031003600,Evelina Bumbalough,3
84,fffe43004900440031003100330030003700,Brian Strauch,5
85,fffe43004900440034003200380038003200,Lucas Strobel,3
86,fffe4300490044003300300039003000,Jenell Tarr,3
87,fffe43004900440033003200310032003700,Scottie Farias,5
88,fffe4300490044003900310036003400,Bridget Taube,5
89,fffe43004900440035003000320038003300,Janell Hiemstra,3
90,fffe43004900440035003400330032003900,Bonny Cratty,3
91,fffe4300490044003500330034003300,Luciana Sholtis,3
92,fffe43004900440035003000330030003800,Samantha Pasco,3
93,fffe43004900440033003700390035003500,Brian Eden,1
94,fffe43004900440032003100380037003900,Nobuko Whitcomb,3
95,fffe4300490044003900340039003600,Lynn Yutzy,3
96,fffe43004900440032003700320035003800,Sebastian Weisman,5
97,fffe43004900440032003100380035003300,Mellissa Dolson,2
98,fffe43004900440033003600360032003800,Cami Neisler,3
99,fffe43004900440036003300360032003700,Vera Galgano,1
100,fffe43004900440032003000300031003400,Lorie Wiltshire,5
101,fffe43004900440034003800320038003800,Migdalia Kirkham,5
102,fffe4300490044003300370039003900,Jong Asbill,5
103,fffe43004900440031003100380033003600,Alanna Ankrom,3
104,fffe43004900440031003100350031003600,Marilou Ferber,2
105,fffe43004900440035003800330036003500,Afton Tootle,5
106,fffe4300490044003200330037003400,Bridget Halfacre,3
107,fffe43004900440034003100370035003600,Mason Bourgault,5
108,fffe43004900440031003100350038003400,Alesha Granado,5
109,fffe43004900440034003100360037003100,Yolonda Weisman,3
110,fffe43004900440032003300320038003500,Shakira Antoine,4
111,fffe43004900440034003300350033003600,Alla Buzbee,5
112,fffe43004900440031003600320031003300,Noelle Schimke,5
113,fffe4300490044003400360031003000,Margarito Piermarini,5
114,fffe430049004400350030003700,Opal Jarrard,3
115,fffe43004900440034003800380035003600,Lesia Heineman,1
116,fffe43004900440031003900310038003600,Dian Mccumber,5
117,fffe43004900440035003200390035003500,Meghan Kump,5
118,fffe43004900440031003400310032003600,Meghann Lampman,4
119,fffe43004900440032003600310035003300,Lien Coryell,5
120,fffe43004900440035003200300039003400,Idalia Lachowicz,4
121,fffe430049004400380031003400,Tobias Stonecipher,4
122,fffe43004900440036003200390037003500,Damaris Kosak,5
123,fffe4300490044003800370038003800,Melinda Liz,4
124,fffe4300490044003200360033003900,Deborah Feltz,3
125,fffe43004900440033003700330036003600,Emanuel Beckmann,3
126,fffe43004900440031003800330031003500,Shaquana Bjornson,3
127,fffe43004900440034003700380034003600,Minerva Tierney,3
128,fffe4300490044003600360037003100,Earlie Kaspar,5
129,fffe43004900440035003400350032003000,Delores Sprankle,5
130,fffe43004900440033003100340033003100,Vera Szabo,5
131,fffe4300490044003300330034003500,Sade Doris,4
132,fffe43004900440034003200350036003900,Arletha Reagle,5
133,fffe43004900440032003200380038003700,Jacklyn Obey,4
134,fffe43004900440033003400350033003900,Neoma Leeks,3
135,fffe43004900440032003700370031003200,Rosanne Fee,4
136,fffe4300490044003100330035003600,Meaghan Millener,3
137,fffe43004900440035003500300036003500,Albertina Andrews,5
138,fffe43004900440034003700390035003000,Joyce Armitage,2
139,fffe4300490044003500380033003900,Genevieve Jilek,5
